index,knowledge_point_id,module_id,phase_id,sort_order,objective_code,name_en,name_zh,name_es,objective_en,objective_zh,objective_es,difficulty_level,chinese_l1_risk,spanish_l1_risk,misconception_codes,review_status,review_notes
0,rec_form,clauses,rec,1,RC-01-01,Identify Relative Clauses: Core form,识别定语从句：核心形式,Identificar cláusulas relativas: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
1,rec_meaning,clauses,rec,2,RC-01-02,Identify Relative Clauses: Meaning and use,识别定语从句：意义与用法,Identificar cláusulas relativas: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
2,rec_contrast,clauses,rec,3,RC-01-03,Identify Relative Clauses: Contrast and misconception,识别定语从句：对比与易错点,Identificar cláusulas relativas: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
3,rec_production,clauses,rec,4,RC-01-04,Identify Relative Clauses: Editing and production,识别定语从句：改错与产出,Identificar cláusulas relativas: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
4,subj_form,clauses,subj,1,RC-02-01,People & Things as Subjects: Core form,指人或物作主语：核心形式,Personas y cosas como sujeto: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
5,subj_meaning,clauses,subj,2,RC-02-02,People & Things as Subjects: Meaning and use,指人或物作主语：意义与用法,Personas y cosas como sujeto: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
6,subj_contrast,clauses,subj,3,RC-02-03,People & Things as Subjects: Contrast and misconception,指人或物作主语：对比与易错点,Personas y cosas como sujeto: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
7,subj_production,clauses,subj,4,RC-02-04,People & Things as Subjects: Editing and production,指人或物作主语：改错与产出,Personas y cosas como sujeto: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
8,obj_form,clauses,obj,1,RC-03-01,People & Things as Objects: Core form,指人或物作宾语：核心形式,Personas y cosas como objeto: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
9,obj_meaning,clauses,obj,2,RC-03-02,People & Things as Objects: Meaning and use,指人或物作宾语：意义与用法,Personas y cosas como objeto: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
