index,module_id,name_en,name_zh,name_es,description_en,description_zh,description_es,gramlin_pose,icon,sort_order,default_access,admin_controllable,status
0,clauses,Relative Clauses,定语从句,Cláusulas relativas,"Describe people, things, places, times, and reasons with precise connected sentences.",用准确连贯的句子描述人物、事物、地点、时间和原因。,"Describe personas, cosas, lugares, momentos y razones con oraciones precisas y conectadas.",pencil,🔍,1,unlocked,TRUE,active
1,prepositions,Prepositions,介词,Preposiciones,"Build reliable intuition for place, time, movement, and common preposition patterns.",建立对地点、时间、移动和常见介词搭配的可靠语感。,"Desarrolla intuición para lugar, tiempo, movimiento y combinaciones comunes.",think,📍,2,locked,TRUE,active
2,tenses,Verb Tenses,动词时态,Tiempos verbales,"Choose verb forms by timeline, duration, completion, and present relevance.",根据时间线、持续性、完成性和当前关联选择动词形式。,"Elige formas verbales según tiempo, duración, finalización y relevancia presente.",book,⏳,3,locked,TRUE,active
3,conditionals,Conditionals,条件句,Condicionales,"Express facts, possibilities, imagined situations, regrets, and conditions.",表达事实、可能性、假设情境、遗憾和条件。,"Expresa hechos, posibilidades, situaciones imaginarias, arrepentimientos y condiciones.",think,🧭,4,locked,TRUE,active
4,passive,Passive Voice,被动语态,Voz pasiva,"Shift focus between the doer, the action, and the result across timelines.",在施事者、动作和结果之间灵活转换焦点。,"Cambia el foco entre quien actúa, la acción y el resultado en distintos tiempos.",book,⚙️,5,locked,TRUE,active
5,reported,Reported Speech,间接引语,Estilo indirecto,"Retell statements, questions, requests, and ideas accurately and naturally.",准确自然地转述陈述、问题、请求和观点。,"Cuenta declaraciones, preguntas, peticiones e ideas con precisión y naturalidad.",pencil,💬,6,locked,TRUE,active
6,modals,Modals,情态动词,Verbos modales,"Express ability, permission, advice, obligation, probability, and deduction.",表达能力、许可、建议、义务、可能性和推断。,"Expresa capacidad, permiso, consejo, obligación, probabilidad y deducción.",think,🎛️,7,locked,TRUE,active
7,determiners,Articles & Determiners,冠词与限定词,Artículos y determinantes,"Signal whether nouns are known, specific, general, countable, or quantified.",说明名词是否已知、特指、泛指、可数或带数量。,"Indica si los sustantivos son conocidos, específicos, generales, contables o cuantificados.",book,🧩,8,locked,TRUE,active
8,conjunctions,Conjunctions,连词,Conjunciones,"Connect ideas by addition, contrast, cause, result, condition, and concession.",用并列、转折、原因、结果、条件和让步连接观点。,"Conecta ideas mediante adición, contraste, causa, resultado, condición y concesión.",juggler,🔗,9,locked,TRUE,active
9,verb_patterns,Verb Patterns,动词搭配,Patrones verbales,"Control gerunds, infinitives, causatives, and meaning-changing verb patterns.",掌握动名词、不定式、使役结构和会改变意义的动词搭配。,"Domina gerundios, infinitivos, causativos y patrones que cambian el significado.",pencil,🛠️,10,locked,TRUE,active
10,sentence_structure,Sentence Structure,句子结构,Estructura de la oración,"Build, question, negate, combine, and repair complete English sentences.",构建、提问、否定、组合并修复完整的英语句子。,"Construye, pregunta, niega, combina y corrige oraciones completas en inglés.",book,🏗️,11,locked,TRUE,active
11,advanced,Advanced Expressions,高级表达,Expresiones avanzadas,"Use emphasis, inversion, register, compression, and idiomatic grammar in context.",在语境中使用强调、倒装、语体、压缩结构和地道语法。,"Usa énfasis, inversión, registro, reducción y gramática idiomática en contexto.",graduate,✨,12,locked,TRUE,active
