question_id,module_id,phase_id,q_num,question_type,prompt_en,prompt_zh,prompt_es,option_a_en,option_a_zh,option_a_es,option_b_en,option_b_zh,option_b_es,option_c_en,option_c_zh,option_c_es,option_d_en,option_d_zh,option_d_es,correct_option,explanation_a_en,explanation_a_zh,explanation_a_es,explanation_b_en,explanation_b_zh,explanation_b_es,explanation_c_en,explanation_c_zh,explanation_c_es,explanation_d_en,explanation_d_zh,explanation_d_es,fallback_tip_en,fallback_tip_zh,fallback_tip_es,difficulty,review_status,review_notes
determiners_articles_q01,determiners,articles,1,multiple_choice_single,I saw ___ elephant at the zoo.,I saw ___ elephant at the zoo.,I saw ___ elephant at the zoo.,a,a,a,an,an,an,the,the,the,Ø,Ø,Ø,B,A = before consonants.,选项 A。,Opción A.,Correct! An elephant (vowel sound).,正确！选项 B。,¡Correcto! Opción B.,"The = specific elephant, but first mention.",选项 C。,Opción C.,Zero article = ungrammatical here.,选项 D。,Opción D.,An before vowel sounds.,An before vowel sounds.,An before vowel sounds.,2,draft,
determiners_articles_q02,determiners,articles,2,multiple_choice_single,___ sun rises in the east.,___ sun rises in the east.,___ sun rises in the east.,A,A,A,An,An,An,The,The,The,Ø,Ø,Ø,C,"A = indefinite, but sun is unique.",选项 A。,Opción A.,"An = before vowels, but sun is unique.",选项 B。,Opción B.,Correct! The sun = unique.,正确！选项 C。,¡Correcto! Opción C.,Zero article = wrong for unique things.,选项 D。,Opción D.,The for unique things.,The for unique things.,The for unique things.,2,draft,
determiners_articles_q03,determiners,articles,3,multiple_choice_single,She is ___ best student in the class.,She is ___ best student in the class.,She is ___ best student in the class.,a,a,a,an,an,an,the,the,the,Ø,Ø,Ø,C,"A = indefinite, not superlative.",选项 A。,Opción A.,An = before vowels.,选项 B。,Opción B.,Correct! The best = superlative requires the.,正确！选项 C。,¡Correcto! Opción C.,Zero article = wrong with superlative.,选项 D。,Opción D.,The with superlatives.,The with superlatives.,The with superlatives.,2,draft,
determiners_articles_q04,determiners,articles,4,multiple_choice_single,___ love is a beautiful thing.,___ love is a beautiful thing.,___ love is a beautiful thing.,A,A,A,An,An,An,The,The,The,Ø,Ø,Ø,D,A = specific instance.,选项 A。,Opción A.,An = before vowels.,选项 B。,Opción B.,The = specific love.,选项 C。,Opción C.,Correct! No article for abstract general concepts.,正确！选项 D。,¡Correcto! Opción D.,Zero article for abstract nouns in general sense.,Zero article for abstract nouns in general sense.,Zero article for abstract nouns in general sense.,2,draft,
determiners_definite_q01,determiners,definite,1,multiple_choice_single,I bought a book. ___ book is very interesting.,I bought a book. ___ book is very interesting.,I bought a book. ___ book is very interesting.,A,A,A,An,An,An,The,The,The,Ø,Ø,Ø,C,"A = indefinite, first mention.",选项 A。,Opción A.,An = before vowels.,选项 B。,Opción B.,Correct! The book = now known from context.,正确！选项 C。,¡Correcto! Opción C.,Zero article = wrong for specific known item.,选项 D。,Opción D.,The for second mention / known reference.,The for second mention / known reference.,The for second mention / known reference.,2,draft,
determiners_definite_q02,determiners,definite,2,multiple_choice_single,"Can you close ___ door, please?","Can you close ___ door, please?","Can you close ___ door, please?",a,a,a,an,an,an,the,the,the,Ø,Ø,Ø,C,"A = any door, not specific.",选项 A。,Opción A.,An = before vowels.,选项 B。,Opción B.,Correct! The door = shared context.,正确！选项 C。,¡Correcto! Opción C.,Zero article = wrong here.,选项 D。,Opción D.,The when both speaker and listener know which one.,The when both speaker and listener know which one.,The when both speaker and listener know which one.,2,draft,
determiners_quantifiers_q01,determiners,quantifiers,1,multiple_choice_single,There are not ___ eggs left in the fridge.,There are not ___ eggs left in the fridge.,There are not ___ eggs left in the fridge.,some,some,some,any,any,any,much,much,much,few,few,few,B,Some = positive sentences.,选项 A。,Opción A.,Correct! Any = negative/ question contexts.,正确！选项 B。,¡Correcto! Opción B.,Much = uncountable nouns.,选项 C。,Opción C.,Few = positive meaning.,选项 D。,Opción D.,Any in negative sentences.,Any in negative sentences.,Any in negative sentences.,2,draft,
determiners_quantifiers_q02,determiners,quantifiers,2,multiple_choice_single,How ___ money do you need?,How ___ money do you need?,How ___ money do you need?,many,many,many,much,much,much,few,few,few,some,some,some,B,Many = countable nouns.,选项 A。,Opción A.,Correct! Much money = uncountable.,正确！选项 B。,¡Correcto! Opción B.,Few = countable.,选项 C。,Opción C.,Some = not in how questions.,选项 D。,Opción D.,Much for uncountable nouns in questions.,Much for uncountable nouns in questions.,Much for uncountable nouns in questions.,2,draft,
determiners_quantifiers_q03,determiners,quantifiers,3,multiple_choice_single,There is very ___ sugar in my coffee. I need more.,There is very ___ sugar in my coffee. I need more.,There is very ___ sugar in my coffee. I need more.,little,little,little,few,few,few,much,much,much,many,many,many,A,Correct! Little sugar = not enough.,正确！选项 A。,¡Correcto! Opción A.,Few = countable.,选项 B。,Opción B.,Much = large amount.,选项 C。,Opción C.,Many = countable.,选项 D。,Opción D.,"Little for small amount (uncountable, negative sense).","Little for small amount (uncountable, negative sense).","Little for small amount (uncountable, negative sense).",2,draft,
determiners_demonstratives_q01,determiners,demonstratives,1,multiple_choice_single,Look at ___ birds over there!,Look at ___ birds over there!,Look at ___ birds over there!,this,this,this,that,that,that,these,these,these,those,those,those,D,"This = singular, near.",选项 A。,Opción A.,"That = singular, far.",选项 B。,Opción B.,"These = plural, near.",选项 C。,Opción C.,"Correct! Those = plural, far.",正确！选项 D。,¡Correcto! Opción D.,Those for plural things far away.,Those for plural things far away.,Those for plural things far away.,2,draft,
